X_COORD,Y_COORD,SOFT_BIN,HARD_BIN,SITE_NUM,PART_ID,SourceFile
34,124,1,1,12,111,ZA530362_003_S11P_20250818003721_M5116B16P03_WFTB33-01.std
35,124,1,1,13,112,ZA530362_003_S11P_20250818003721_M5116B16P03_WFTB33-01.std
36,124,1,1,14,113,ZA530362_003_S11P_20250818003721_M5116B16P03_WFTB33-01.std
37,124,1,1,15,114,ZA530362_003_S11P_20250818003721_M5116B16P03_WFTB33-01.std
38,130,1,1,0,115,ZA530362_003_S11P_20250818003721_M5116B16P03_WFTB33-01.std
39,130,37,8,1,116,ZA530362_003_S11P_20250818003721_M5116B16P03_WFTB33-01.std
40,130,37,8,2,117,ZA530362_003_S11P_20250818003721_M5116B16P03_WFTB33-01.std
41,130,1,1,3,118,ZA530362_003_S11P_20250818003721_M5116B16P03_WFTB33-01.std
38,128,1,1,4,119,ZA530362_003_S11P_20250818003721_M5116B16P03_WFTB33-01.std
39,128,1,1,5,120,ZA530362_003_S11P_20250818003721_M5116B16P03_WFTB33-01.std
38,126,37,8,8,121,ZA530362_003_S11P_20250818003721_M5116B16P03_WFTB33-01.std
39,126,37,8,9,122,ZA530362_003_S11P_20250818003721_M5116B16P03_WFTB33-01.std
40,126,37,8,10,123,ZA530362_003_S11P_20250818003721_M5116B16P03_WFTB33-01.std
41,126,1,1,11,124,ZA530362_003_S11P_20250818003721_M5116B16P03_WFTB33-01.std
38,124,37,8,12,125,ZA530362_003_S11P_20250818003721_M5116B16P03_WFTB33-01.std
39,124,37,8,13,126,ZA530362_003_S11P_20250818003721_M5116B16P03_WFTB33-01.std
40,124,37,8,14,127,ZA530362_003_S11P_20250818003721_M5116B16P03_WFTB33-01.std
41,124,37,8,15,128,ZA530362_003_S11P_20250818003721_M5116B16P03_WFTB33-01.std
42,130,1,1,0,129,ZA530362_003_S11P_20250818003721_M5116B16P03_WFTB33-01.std
43,130,1,1,1,130,ZA530362_003_S11P_20250818003721_M5116B16P03_WFTB33-01.std
44,130,1,1,2,131,ZA530362_003_S11P_20250818003721_M5116B16P03_WFTB33-01.std
45,130,37,8,3,132,ZA530362_003_S11P_20250818003721_M5116B16P03_WFTB33-01.std
42,128,37,8,4,133,ZA530362_003_S11P_20250818003721_M5116B16P03_WFTB33-01.std
43,128,1,1,5,134,ZA530362_003_S11P_20250818003721_M5116B16P03_WFTB33-01.std
44,128,1,1,6,135,ZA530362_003_S11P_20250818003721_M5116B16P03_WFTB33-01.std
45,128,1,1,7,136,ZA530362_003_S11P_20250818003721_M5116B16P03_WFTB33-01.std
42,126,37,8,8,137,ZA530362_003_S11P_20250818003721_M5116B16P03_WFTB33-01.std
43,126,37,8,9,138,ZA530362_003_S11P_20250818003721_M5116B16P03_WFTB33-01.std
44,126,37,8,10,139,ZA530362_003_S11P_20250818003721_M5116B16P03_WFTB33-01.std
45,126,37,8,11,140,ZA530362_003_S11P_20250818003721_M5116B16P03_WFTB33-01.std
42,124,1,1,12,141,ZA530362_003_S11P_20250818003721_M5116B16P03_WFTB33-01.std
43,124,37,8,13,142,ZA530362_003_S11P_20250818003721_M5116B16P03_WFTB33-01.std
44,124,1,1,14,143,ZA530362_003_S11P_20250818003721_M5116B16P03_WFTB33-01.std
45,124,37,8,15,144,ZA530362_003_S11P_20250818003721_M5116B16P03_WFTB33-01.std
46,130,1,1,0,145,ZA530362_003_S11P_20250818003721_M5116B16P03_WFTB33-01.std
47,130,37,8,1,146,ZA530362_003_S11P_20250818003721_M5116B16P03_WFTB33-01.std
46,128,37,8,4,147,ZA530362_003_S11P_20250818003721_M5116B16P03_WFTB33-01.std
47,128,37,8,5,148,ZA530362_003_S11P_20250818003721_M5116B16P03_WFTB33-01.std
48,128,37,8,6,149,ZA530362_003_S11P_20250818003721_M5116B16P03_WFTB33-01.std
46,126,1,1,8,150,ZA530362_003_S11P_20250818003721_M5116B16P03_WFTB33-01.std
47,126,1,1,9,151,ZA530362_003_S11P_20250818003721_M5116B16P03_WFTB33-01.std
48,126,37,8,10,152,ZA530362_003_S11P_20250818003721_M5116B16P03_WFTB33-01.std
49,126,37,8,11,153,ZA530362_003_S11P_20250818003721_M5116B16P03_WFTB33-01.std
46,124,37,8,12,154,ZA530362_003_S11P_20250818003721_M5116B16P03_WFTB33-01.std
47,124,1,1,13,155,ZA530362_003_S11P_20250818003721_M5116B16P03_WFTB33-01.std
48,124,37,8,14,156,ZA530362_003_S11P_20250818003721_M5116B16P03_WFTB33-01.std
49,124,37,8,15,157,ZA530362_003_S11P_20250818003721_M5116B16P03_WFTB33-01.std
51,128,1,1,5,158,ZA530362_003_S11P_20250818003721_M5116B16P03_WFTB33-01.std
52,128,1,1,6,159,ZA530362_003_S11P_20250818003721_M5116B16P03_WFTB33-01.std
53,128,37,8,7,160,ZA530362_003_S11P_20250818003721_M5116B16P03_WFTB33-01.std
50,126,1,1,8,161,ZA530362_003_S11P_20250818003721_M5116B16P03_WFTB33-01.std
51,126,1,1,9,162,ZA530362_003_S11P_20250818003721_M5116B16P03_WFTB33-01.std
52,126,37,8,10,163,ZA530362_003_S11P_20250818003721_M5116B16P03_WFTB33-01.std
53,126,37,8,11,164,ZA530362_003_S11P_20250818003721_M5116B16P03_WFTB33-01.std
50,124,1,1,12,165,ZA530362_003_S11P_20250818003721_M5116B16P03_WFTB33-01.std
51,124,1,1,13,166,ZA530362_003_S11P_20250818003721_M5116B16P03_WFTB33-01.std
52,124,1,1,14,167,ZA530362_003_S11P_20250818003721_M5116B16P03_WFTB33-01.std
53,124,37,8,15,168,ZA530362_003_S11P_20250818003721_M5116B16P03_WFTB33-01.std
54,128,37,8,4,169,ZA530362_003_S11P_20250818003721_M5116B16P03_WFTB33-01.std
54,126,37,8,8,170,ZA530362_003_S11P_20250818003721_M5116B16P03_WFTB33-01.std
55,126,37,8,9,171,ZA530362_003_S11P_20250818003721_M5116B16P03_WFTB33-01.std
56,126,37,8,10,172,ZA530362_003_S11P_20250818003721_M5116B16P03_WFTB33-01.std
57,126,37,8,11,173,ZA530362_003_S11P_20250818003721_M5116B16P03_WFTB33-01.std
